                     ,studieverblijf,standplaats,zonder verankering,kort verblijf, TOTAAL, %

EUROPA               ,   3 ,  16 ,  20 ,  58 ,  97 ,    59
NOORD-AMERIKA        ,   2 ,   6 ,   7 ,  26 ,  41 ,    25
ZUID-AMERIKA         ,     ,   1 ,     ,   7 ,   8 ,     5
AFRIKA               ,     ,   1 ,     ,   5 ,   6 ,     4
AZIË                 ,     ,   1 ,     ,   5 ,   6 ,     4
AUSTRALIË            ,     ,     ,   2 ,   3 ,   5 ,     3

TOTAAL               ,   5 ,  25 ,  29 , 104 , 163 ,

%                    ,   3 ,  15 ,  18 ,  64 , 100 ,


64+15+18+3


   	EU 	NA 	 ZA AF AZ AU
104	55%	25%	 7%	5% 5%	3%	× 0,64
 25	64%	24%	 4%	4% 4% 0		× 0,15
 29	69%	24%	 0 	0	 0  7%	× 0,18
  5	60%	40%	 0 	0	 0	0		× 0,03

35+16+4+3+3+2
10+ 4+1+1+1+0
12+ 4+0+0+0+1
 2+ 1+0+0+0+0


16+4+4+1

